Student_Name,Hours_Studied,Attendance,Parental_Involvement,Parental_Education_Level,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Distance_from_Home,Gender,Exam_Score
Sabuj Shaikh,23,80.3,High,High School,Low,Yes,5,83.1,High,Yes,0,High,Medium,Public,Negative,1,No,Far,Female,91.6
Arafat Jahan,22,94.1,Low,Postgraduate,High,No,8,65.9,Low,Yes,0,Medium,High,Public,Positive,3,No,Near,Male,89.8
Tanvir Islam,21,59.0,Low,College,Low,No,8,49.9,Low,No,2,Low,Medium,Public,Neutral,1,Yes,Far,Male,61.5
Arif Ahmed,16,73.1,High,Postgraduate,Medium,Yes,7,64.2,High,No,2,Low,Low,Public,Negative,4,No,Near,Female,67.4
Tasnim Islam,20,64.9,Medium,College,Low,Yes,9,66.4,High,Yes,2,Low,Medium,Public,Positive,2,Yes,Moderate,Female,74.2
Sajib Ali,15,93.4,Low,High School,Low,Yes,6,78.1,Medium,No,1,Low,Medium,Private,Negative,3,Yes,Moderate,Female,76.5
Sadia Jahan,19,69.3,High,Postgraduate,High,No,5,85.5,Medium,No,1,Low,High,Private,Positive,7,No,Far,Female,82.5
Tanzim Ali,42,96.3,Low,High School,High,Yes,9,77.1,Low,No,4,Medium,High,Private,Positive,7,Yes,Far,Female,100.0
Sabuj Akter,19,78.4,High,High School,High,No,9,53.3,High,No,3,Low,Medium,Private,Negative,7,Yes,Near,Female,80.4
Mehedi Siddique,9,71.4,Low,Postgraduate,Medium,No,8,58.2,High,Yes,3,High,High,Public,Negative,1,No,Far,Female,70.8
Nusrat Alam,14,89.3,Medium,College,Low,No,9,88.4,Low,Yes,2,High,Low,Public,Negative,2,No,Near,Female,85.4
Tanvir Siddique,18,74.5,High,College,Low,No,5,52.9,High,No,0,High,High,Public,Positive,2,No,Moderate,Female,74.5
Farhana Hossain,11,67.6,Medium,High School,High,Yes,5,85.4,High,Yes,3,Low,Low,Public,Negative,5,No,Near,Female,86.9
Farhana Ahmed,11,81.1,High,College,Low,No,7,87.6,High,No,1,Low,Low,Private,Negative,4,No,Near,Female,79.2
Sumaiya Khan,19,100.0,High,High School,High,No,9,37.3,High,No,0,Low,High,Public,Negative,4,No,Near,Male,87.2
Sadia Chowdhury,8,94.5,Low,College,Medium,Yes,6,86.6,Low,Yes,0,High,Low,Private,Positive,4,No,Near,Male,77.0
Fahim Khan,31,75.8,Low,College,Low,No,6,62.7,Low,No,4,Medium,Medium,Public,Neutral,2,Yes,Far,Female,87.6
Anika Jahan,24,95.9,Low,Postgraduate,High,Yes,6,77.6,High,No,0,High,Low,Private,Negative,1,No,Near,Male,100.0
Nahid Hossain,20,93.6,High,High School,Medium,Yes,7,64.2,Low,Yes,0,Medium,High,Public,Positive,2,No,Moderate,Male,83.6
Tanvir Chowdhury,30,78.5,Low,Postgraduate,High,Yes,9,36.8,Medium,No,0,High,Medium,Private,Negative,3,No,Near,Male,82.7
Sadia Alam,17,72.4,Medium,High School,Low,No,6,71.7,Medium,Yes,1,High,Medium,Public,Neutral,3,No,Far,Male,72.2
Nusrat Alam,12,98.8,Low,Postgraduate,High,Yes,7,73.7,Low,No,1,Low,Medium,Private,Positive,7,No,Far,Female,77.6
Tanzim Hossain,20,100.0,High,College,Medium,No,9,71.3,Low,Yes,0,High,Low,Private,Negative,1,Yes,Far,Female,88.2
Nusrat Hossain,22,81.9,High,High School,High,Yes,6,84.7,Low,Yes,2,Medium,Medium,Public,Neutral,6,No,Near,Female,89.6
Farhana Akter,26,71.1,Low,College,High,Yes,8,93.6,Medium,Yes,2,Medium,High,Public,Negative,7,No,Near,Female,94.8
Farhana Ahmed,12,82.9,Low,Postgraduate,Low,Yes,5,67.1,Medium,No,0,Medium,Low,Private,Negative,6,No,Near,Male,69.5
Mahmud Chowdhury,20,76.0,Medium,College,Low,No,5,52.3,Medium,Yes,2,Low,Medium,Private,Positive,1,No,Near,Female,70.6
Nahid Chowdhury,24,71.0,Medium,Postgraduate,Medium,Yes,7,82.7,Medium,No,0,Low,High,Public,Neutral,4,Yes,Near,Male,86.1
Arafat Akter,13,78.1,Medium,Postgraduate,Medium,No,9,85.4,High,No,3,Medium,Low,Private,Positive,2,Yes,Far,Female,78.9
Mahmud Chowdhury,30,100.0,High,College,High,Yes,8,69.5,High,No,3,Medium,Low,Private,Neutral,4,No,Moderate,Female,100.0
Rakib Akter,22,91.4,Low,Postgraduate,Medium,No,6,56.7,High,Yes,2,Low,Low,Public,Neutral,1,No,Near,Male,81.9
Tanzim Jahan,24,96.6,Medium,Postgraduate,Low,No,5,77.2,Medium,No,0,Medium,Medium,Public,Positive,7,No,Near,Male,91.4
Sumaiya Jahan,22,73.4,Low,Postgraduate,High,No,9,100.0,Medium,Yes,2,Medium,Low,Public,Negative,4,No,Moderate,Female,98.1
Mehedi Mia,25,70.5,Medium,College,Medium,No,6,63.5,Low,Yes,2,Medium,High,Private,Positive,3,Yes,Near,Female,80.0
Sajib Rahman,27,87.0,High,High School,Low,Yes,9,85.5,Low,Yes,0,Low,Low,Private,Positive,4,Yes,Moderate,Female,98.0
Sumaiya Shaikh,9,72.7,Low,College,Medium,No,8,86.3,High,No,2,Low,High,Public,Positive,5,No,Moderate,Female,77.8
Arif Bhuiyan,20,99.4,High,High School,Medium,Yes,8,70.3,Low,No,0,Medium,Medium,Private,Neutral,2,Yes,Far,Male,97.2
Nahid Siddique,12,93.7,Low,College,High,No,8,74.6,High,Yes,0,Medium,High,Public,Negative,3,No,Near,Female,86.2
Mahmud Khan,18,90.6,Medium,College,Medium,No,5,80.6,Medium,Yes,4,High,Medium,Private,Negative,7,No,Moderate,Male,91.2
Tanzim Bhuiyan,16,91.3,Low,High School,Low,Yes,8,88.6,Low,No,1,High,High,Public,Negative,6,No,Far,Male,84.6
Tanvir Bhuiyan,21,67.1,Medium,High School,High,No,8,76.4,High,Yes,1,High,High,Public,Negative,6,No,Moderate,Female,90.0
Mahmud Hossain,21,72.3,High,Postgraduate,High,Yes,5,88.8,Low,Yes,2,Medium,Low,Private,Positive,5,Yes,Far,Female,90.9
Sajib Shaikh,28,94.6,Medium,College,Low,Yes,8,54.7,Medium,No,3,Low,Medium,Private,Positive,4,No,Far,Female,85.4
Lamia Ahmed,22,85.1,Medium,High School,Low,No,8,74.3,Medium,No,1,Low,Medium,Public,Neutral,2,Yes,Moderate,Male,85.5
Tasnim Bhuiyan,24,95.6,Medium,College,Medium,Yes,8,87.4,High,Yes,3,Low,High,Private,Positive,5,No,Far,Female,100.0
Farhana Mia,10,64.0,Medium,Postgraduate,High,No,8,76.3,Medium,Yes,0,Medium,Medium,Public,Negative,5,No,Moderate,Female,63.9
Laboni Rahman,38,59.6,Medium,Postgraduate,High,No,7,83.6,Medium,No,0,Low,Medium,Private,Neutral,1,No,Far,Male,92.4
Arif Bhuiyan,12,78.0,High,High School,Low,No,6,95.8,Low,Yes,0,Low,High,Private,Neutral,3,No,Near,Female,77.4
Sabuj Mia,14,84.6,High,High School,Medium,Yes,8,74.6,Low,No,1,Low,Low,Private,Positive,4,No,Far,Female,74.5
Rakib Rahman,30,91.9,Low,High School,Medium,No,9,74.2,Medium,Yes,1,High,Low,Public,Neutral,3,No,Near,Male,99.3
Arafat Jahan,14,92.2,Low,Postgraduate,Medium,No,7,62.9,High,No,0,Medium,High,Public,Positive,5,No,Far,Female,79.8
Nahid Shaikh,13,100.0,High,Postgraduate,Low,Yes,6,69.3,Low,Yes,0,Low,High,Public,Neutral,1,No,Far,Male,76.3
Sumaiya Khan,34,86.9,High,Postgraduate,Medium,No,8,56.3,Medium,No,4,Low,Low,Public,Neutral,1,No,Moderate,Male,100.0
Arif Jahan,23,100.0,High,High School,Medium,No,8,55.4,Low,No,0,Medium,Low,Public,Negative,3,No,Moderate,Female,92.1
Laboni Siddique,30,73.5,Medium,College,Low,No,7,80.2,High,No,1,Low,Low,Private,Positive,5,No,Near,Male,94.4
Tanzim Bhuiyan,19,70.8,Low,College,High,No,7,55.9,High,No,1,Low,Medium,Private,Negative,3,Yes,Moderate,Female,77.2
Nusrat Ali,33,64.8,Low,College,Medium,No,7,67.8,High,Yes,1,Medium,Medium,Private,Positive,1,No,Moderate,Female,91.3
Rafi Ali,20,100.0,High,High School,High,Yes,5,79.7,High,No,0,High,Medium,Private,Negative,2,Yes,Far,Female,100.0
Tanvir Siddique,21,74.8,Low,College,Medium,Yes,5,75.0,High,Yes,4,Medium,Medium,Public,Negative,2,No,Far,Female,87.9
Nusrat Khan,4,97.4,Low,Postgraduate,Low,No,9,65.4,Medium,No,1,Medium,High,Private,Positive,2,Yes,Near,Female,75.5
Rafi Jahan,18,89.1,High,Postgraduate,High,No,9,77.9,Low,No,0,Low,Low,Private,Neutral,5,No,Far,Female,84.2
Fahim Ali,27,76.4,Low,College,High,No,9,65.3,Medium,No,2,Medium,Medium,Private,Positive,4,No,Far,Male,89.3
